fsa	userid	fsid	m_date	config_browser	config_browser_name	config_browser_version	config_color_depth	config_device	config_java	config_resolution	config_viewport_size	idsite	location_browser_en	location_browser_lan	location_country_code	location_country_name	location_ipv4	location_ipv6	referal_xxx
99da4519-d8c5-4987-9deb-e57876235bb1	-1	7be61116-d2cc-4c7d-b924-0a1f5c5c92f4	"1,509,234,168"	Safari				Window Tablet					UTF-8	es	ID	Indonesia	28.158.162.119		
99da4519-d8c5-4987-9deb-e57876235bb1	-1	7be61116-d2cc-4c7d-b924-0a1f5c5c92f4	"1,509,234,175"	Safari				Window Tablet					UTF-8	es	ID	Indonesia	28.158.162.119		
99da4519-d8c5-4987-9deb-e57876235bb1	-1	7be61116-d2cc-4c7d-b924-0a1f5c5c92f4	"1,509,234,359"	Edge				BlackBerry 10					UTF-8	es	ID	Indonesia	28.158.162.119		
99da4519-d8c5-4987-9deb-e57876235bb1	7fffa8ce-3e15-4901-bd98-f8cb9d6673df	7be61116-d2cc-4c7d-b924-0a1f5c5c92f4	"1,509,234,755"	Edge				BlackBerry 10					UTF-8	es	ID	Indonesia	28.158.162.119		
4b36eb63-9025-4674-b0a2-a6a34d11e72f	-1	b4a2ef83-9f2c-40a4-8b90-4900384b85bb	"1,505,519,340"	Safari				Window Tablet					UTF-8	fr	ID	Indonesia	130.9.80.197		
4b36eb63-9025-4674-b0a2-a6a34d11e72f	bedbb5e1-55ad-4184-94d9-b97291ea2376	b4a2ef83-9f2c-40a4-8b90-4900384b85bb	"1,505,519,900"	Edge				Window Phone					UTF-8	fr	ID	Indonesia	130.9.80.197		
bb3d3e45-dd8e-49d6-8fcc-9341a3fdd029	27bf372f-eef2-4e93-a3ea-6b890cfa0c85	0d92f7d6-d0bf-4cce-82b0-d65e8c8181d4	"1,491,263,838"	Safari				Window Tablet					UTF-8	es-419	CN	China	129.212.255.145		
0bdcef81-4539-4947-9b70-d919db9012a2	-1	9ecc0070-adb5-4958-b352-62383e190a4c	"1,493,509,166"	Edge				Desktop					UTF-8	es-419	BR	Brazil	180.245.25.110		
0bdcef81-4539-4947-9b70-d919db9012a2	-1	9ecc0070-adb5-4958-b352-62383e190a4c	"1,493,509,496"	Edge				Desktop					UTF-8	es-419	BR	Brazil	180.245.25.110		
0bdcef81-4539-4947-9b70-d919db9012a2	20e63cd2-ca9e-4832-a1da-5da4f599b102	9ecc0070-adb5-4958-b352-62383e190a4c	"1,493,510,003"	Firefox				Apple Phone					UTF-8	es-419	BR	Brazil	180.245.25.110		
57b5ca95-16fa-4f5b-a255-ac9a304950d5	-1	a5d652d8-ffc5-4a0a-9c0b-7822bf01a926	"1,502,754,667"	Edge				Android Phone					UTF-8	en-gb	AL	Albania	12.214.206.113		
57b5ca95-16fa-4f5b-a255-ac9a304950d5	c94096cd-6c19-48d5-bf37-21122c51a133	a5d652d8-ffc5-4a0a-9c0b-7822bf01a926	"1,502,754,925"	Edge				Android Phone					UTF-8	en-gb	AL	Albania	12.214.206.113		
d1265002-18d0-49c8-8fbe-16c9529ede18	-1	bb2a9414-cd22-4cb7-be7b-3018deeee968	"1,496,015,193"	Firefox				Window Phone					UTF-8	de	FR	France	52.42.70.161		
