"fsa","userid","fsid","m_date","config_browser","config_browser_name","config_browser_version","config_color_depth","config_device","config_java","config_resolution","config_viewport_size","idsite","location_browser_en","location_browser_lan","location_country_code","location_country_name","location_ipv4","location_ipv6","location_path","referal_xxx"
"1912978767.1514346997",-1,"1185883910.1514346997","1,514,346,998",Chrome,,,"24-bit",Desktop,"0","1920x1080","150x945",,UTF-8,en-us,VN,Vietnam,"10.88.113.111",,http://10.88.113.60/movies/tt2527336,
"1912978767.1514346997",-1,"1185883910.1514346997","1,514,347,001",Chrome,,,"24-bit",Desktop,"0","1920x1080","150x945",,UTF-8,en-us,VN,Vietnam,"10.88.113.111",,http://10.88.113.60/movies/tt2527336,
"1912978767.1514346997",-1,"1185883910.1514346997","1,514,347,041",Chrome,,,"24-bit",Desktop,"0","1920x1080","150x945",,UTF-8,en-us,VN,Vietnam,"10.88.113.111",,http://10.88.113.60/movies/tt2527336,
"1912978767.1514346997",-1,"1185883910.1514346997","1,514,347,050",Chrome,,,"24-bit",Desktop,"0","1920x1080","150x945",,UTF-8,en-us,VN,Vietnam,"10.88.113.111",,http://10.88.113.60/movies/tt0295630,
"1912978767.1514346997",-1,"1185883910.1514346997","1,514,347,071",Chrome,,,"24-bit",Desktop,"0","1920x1080","150x945",,UTF-8,en-us,VN,Vietnam,"10.88.113.111",,http://10.88.113.60/movies/tt0361243,
"1912978767.1514346997",-1,"1185883910.1514346997","1,514,347,077",Chrome,,,"24-bit",Desktop,"0","1920x1080","150x945",,UTF-8,en-us,VN,Vietnam,"10.88.113.111",,http://10.88.113.60/movies/tt0390733,
"1912978767.1514346997",-1,"1185883910.1514346997","1,514,347,083",Chrome,,,"24-bit",Desktop,"0","1920x1080","150x945",,UTF-8,en-us,VN,Vietnam,"10.88.113.111",,http://10.88.113.60/movies/tt0061237,
"1912978767.1514346997",-1,"1185883910.1514346997","1,514,347,088",Chrome,,,"24-bit",Desktop,"0","1920x1080","150x945",,UTF-8,en-us,VN,Vietnam,"10.88.113.111",,http://10.88.113.60/movies/tt5075942,
"1912978767.1514346997",-1,"1185883910.1514346997","1,514,347,093",Chrome,,,"24-bit",Desktop,"0","1920x1080","150x945",,UTF-8,en-us,VN,Vietnam,"10.88.113.111",,http://10.88.113.60/movies/tt0278238,
"1912978767.1514346997",-1,"1185883910.1514346997","1,514,347,101",Chrome,,,"24-bit",Desktop,"0","1920x1080","150x945",,UTF-8,en-us,VN,Vietnam,"10.88.113.111",,http://10.88.113.60/movies/tt0295630,
