"fsa","userid","fsid","m_date","config_browser","config_browser_name","config_browser_version","config_color_depth","config_device","config_java","config_resolution","config_viewport_size","idsite","location_browser_en","location_browser_lan","location_city_name","location_country_code","location_country_name","location_ipv4","location_ipv6","location_path","referal_xxx"
"961459190.2",-1,"242812496.2","1,514,425,705",Firefox,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.111",,"10.88.113.111",
"961459190.2",-1,"242812496.2","1,514,425,708",Firefox,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.111",,"10.88.113.111",
"1668654974",-1,"932209141.2","1,514,348,930",Chrome,,"1","24",Apple Phone,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.111",,"10.88.113.111",
"1668654974",-1,"932209141.2","1,514,348,934",Chrome,,"1","24",Apple Phone,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.111",,"10.88.113.111",
"1668654974",-1,"932209141.2","1,514,348,953",Chrome,,"1","24",Apple Phone,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.111",,"10.88.113.111",
"1668654974",-1,"932209141.2","1,514,348,957",Chrome,,"1","24",Apple Phone,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.111",,"10.88.113.111",
"1668654974",-1,"932209141.2","1,514,348,990",Chrome,,"1","24",Apple Phone,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.111",,"10.88.113.111",
"1668654974",-1,"932209141.2","1,514,348,994",Chrome,,"1","24",Apple Phone,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.111",,"10.88.113.111",
"278895824.2",-1,"598803996.2","1,514,348,336",Chrome,,"1","24",Apple Tablet,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.111",,"10.88.113.111",
"278895824.2",-1,"598803996.2","1,514,348,340",Chrome,,"1","24",Apple Tablet,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.111",,"10.88.113.111",
"1197758143",-1,"18098674.15","1,514,355,516",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,355,581",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,355,598",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,355,604",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,355,667",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,355,669",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,355,675",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,355,717",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,355,719",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,355,729",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,355,802",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,355,803",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,355,949",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,141",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,143",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,188",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,189",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,191",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,295",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,298",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,333",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,335",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,432",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,434",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,438",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,444",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,451",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,462",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,746",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,749",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,771",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,787",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,806",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,815",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,830",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,881",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,890",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,935",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,937",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,962",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,356,981",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
"1197758143",-1,"18098674.15","1,514,357,207",Chrome,,"1","24",Desktop,,"24-bit","24-bit",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,"10.88.113.60",
