userid,fsa,fsid,m_date,config_browser_name,config_browser_version,config_color_depth,config_os,config_resolution,config_viewport_size,location_browser_en,location_browser_lan,location_country_code,location_country_name,location_ipv4,config_device
fb0999eb-16ea-481f-a3d8-0ff13feea4f8,d689beb1-0cee-4fcd-81a7-8fbd4f9637fc,844163cd-deea-43d7-b6f7-4fdbb023528f,1513468462,Safari,,,iOS,,,UTF-8,en-us,PL,Poland,204.177.175.17,Apple Tablet
2c7b91f8-0acd-441c-be5a-5d1465f4e33d,b58a281c-0f49-4f64-8e05-41ee93fdcb08,9a824c2e-1560-4006-9776-3e3861113c24,1513468335,Firefox,,,(not set),,,UTF-8,zh-tw,JP,Japan,133.65.72.118,Android Phone
b0b166ed-f76f-4988-97a0-28e316524e6d,41ac6e5c-9366-4727-b24c-d4239d57eda4,c30fd33d-3448-4d20-be10-6bace5d779b7,1513468231,Edge,,,iOS,,,UTF-8,de,CZ,Czech Republic,71.129.18.243,BlackBerry 10
d413fcb8-b03f-48f5-ae86-c8f625e50b02,6db15d9b-ba86-4a1e-89b0-2a0361abe6ee,e25642c2-043e-4e02-88f8-d4cdf9ae395c,1513295500,Firefox,,,Samsung,,,UTF-8,pt-br,JP,Japan,80.159.138.159,Desktop
03cb46e2-483d-4954-997f-e06c455ea62a,e018c168-a33c-43f0-81b1-c3b509cd5477,4301b49b-ca97-4865-aa7d-b554bd9f4c18,1513295704,Edge,,,Samsung,,,UTF-8,de,PH,Philippines,169.141.148.241,Apple Phone
bdf9111b-365d-46a2-bada-1c15d0d29b6a,273956e7-c81d-4c67-9c14-834390031f56,38ad0115-3131-4c6e-8fc6-1cc6f3cae850,1513295552,Safari,,,(not set),,,UTF-8,es,CU,Cuba,5.156.172.174,Android Tablet
974bc56c-6b63-4db3-91a8-6dd85b718575,19d923eb-9852-4b08-b2fa-6f8a80f903e4,539fd490-c5ac-4083-a45f-00d246d2cb58,1513295728,Edge,,,Chrome OS,,,UTF-8,en-us,BO,Bolivia,247.56.124.118,Desktop
9805e7b1-4923-4db3-82b9-eb0bd0df2f38,07e3176f-ab3b-4fc5-bfce-e1a981bf20c4,13dd0b0c-bbf3-44aa-9e4f-ff2b5867a5ca,1513209455,Edge,,,Windows,,,UTF-8,es-419,VN,Vietnam,114.148.16.120,Apple Phone
8ffb3950-bb1a-48ef-b529-e7ad570d57e0,5b21d452-2392-4971-8539-e2dc5a0cb653,f63396ea-63ce-4f2c-9512-92fa32a4baef,1513209263,Edge,,,Macintosh,,,UTF-8,ja-jp,KP,North Korea,145.168.176.86,BlackBerry 10
a1f80c54-d5db-4b4c-aeed-a6352503b61d,cba9eb79-7159-4f78-ac92-91139df84a07,110955a7-3921-4534-9aec-325256a90090,1513122989,Edge,,,Macintosh,,,UTF-8,es-419,CN,China,142.231.121.66,Apple Ipod
7321bb9f-80a6-46cc-90d3-cfa84beb5f85,8f7e9148-ff7c-4c2a-8e7f-3611b9947533,0bf144c7-f512-4b35-9a38-986076802f73,1513036751,Edge,,,OS/2,,,UTF-8,fr,ID,Indonesia,241.71.81.20,Window Phone
20bc4e99-4486-495d-a039-bdfeff94da20,17410b50-e5a4-475f-9331-556c003d9a97,78cf9f29-3317-4854-89b7-52debf019a48,1513036252,Safari,,,iOS,,,UTF-8,en-us,PH,Philippines,146.16.121.248,BlackBerry 10
fbd4ae81-8f5e-4a63-85b6-54fad5f8a51a,5a24e849-59a5-4e13-b8a2-4f0ec542cbc5,9b21b678-e3f7-4960-a095-a0487328a849,1513036221,Safari,,,Windows Phone,,,UTF-8,pt-br,ID,Indonesia,99.246.138.156,Window Tablet
e18d8aea-f38a-4261-afd5-dac1f814380a,ed2330ca-30c6-4ebe-aa28-30c98e653cee,289eea5d-3c50-463d-a599-9b2a2ea10e7e,1512950132,Edge,,,(not set),,,UTF-8,zh-tw,BI,Burundi,250.120.142.125,Apple Tablet
a8c399a2-ecc6-4a4b-be63-9adb10d830fa,c30e7e02-e2d6-4e29-8ebf-fc9cec731c0f,8e6331fb-7d75-49aa-8ea0-e3e61aaaf423,1512863623,Edge,,,OS/2,,,UTF-8,en-us,PE,Peru,218.87.107.253,Apple Phone
1b6f9ea8-6405-4111-b8a4-dc554f270071,44053088-131c-48b0-a841-365cf7b8764d,774bce01-ad2c-419f-8078-583ca1133f46,1512863523,Safari,,,Windows Phone,,,UTF-8,es-419,CN,China,234.149.238.62,Apple Ipod
5982d5b1-f808-48fd-8683-ce21315d5d8c,8d3007c2-4531-4684-93df-458a990447fb,f509a030-b76b-412a-8cfb-b4ac21f98298,1512863912,Edge,,,Android,,,UTF-8,fr,ID,Indonesia,40.129.15.167,Apple Ipod
2215943a-d573-4dcb-b8ce-3b8283571881,126ca496-d293-47b2-9d44-4b78bfdb602d,4ffaed54-913a-4277-bd66-90cc22599bdd,1512777079,Safari,,,Linux,,,UTF-8,fr,PT,Portugal,162.120.77.172,Android Phone
60dccbf7-e29e-48f8-bbd1-04a4f476f1ef,c3e72cff-adde-4e26-9715-3410cd3fa485,c069823e-75ea-43e1-a0f0-89fe83e688c4,1512777235,Safari,,,Android,,,UTF-8,ru,CN,China,91.28.179.108,BlackBerry 10
dcef76fb-b33c-4f27-b919-77fa837e7ae7,d06fba91-b1f1-491d-8943-3d94cd12440e,82a7712b-d075-4e56-8f83-26864ec7f787,1512777220,Safari,,,Android,,,UTF-8,es-419,ID,Indonesia,152.158.149.251,Android Phone
29b44114-1cdc-4048-b7e3-baf56e94c382,2c0b0cef-699b-4d5d-b50a-2dd294aec0d2,c2b58d90-ba31-4dbf-9142-0baba7c50ec5,1512777109,Edge,,,Windows Phone,,,UTF-8,de,ID,Indonesia,136.30.120.190,Apple Tablet
5732f7b2-f893-49bf-8bae-a6f17198b179,d367ed57-ae52-4413-98a4-0c95fb38339c,a50ba9d8-a1c9-47c5-af11-1476a49b0d5c,1512777137,Firefox,,,Macintosh,,,UTF-8,pt-br,TH,Thailand,252.228.70.72,Android Tablet
59ae2829-6354-4dff-b6b5-49d42b6a336c,e20eaa14-d68f-48c5-9d06-cc4e7dd751cf,48fcdf31-19b3-4ef8-8184-eaa3e7885703,1512777455,Safari,,,OS/2,,,UTF-8,ru,CN,China,17.82.224.246,Window Phone
62cc61cb-8124-42c3-8294-b5ac9b92d03d,1884d8d1-c571-4256-9562-c9cf60f047d7,85ca241c-fb28-47d0-b8fd-fc4ed542ffac,1512777400,Edge,,,Android,,,UTF-8,ja-jp,CA,Canada,26.20.231.70,Desktop
90175411-993b-45ae-a6a0-01a6ec9a0cc1,484f8b4e-a40e-4702-9c66-1d0620b9a865,10b92c03-9adc-4981-93bf-37381f9e2a04,1512691159,Edge,,,Macintosh,,,UTF-8,de,UA,Ukraine,79.222.60.109,Apple Phone
4637cb4c-daf2-44f6-b420-8bcc11b972d3,4250ea4e-d31f-43f4-b150-93f765662b7a,c090bc0b-cc37-43b0-bc31-a9f0b44456fa,1512690771,Safari,,,Samsung,,,UTF-8,zh-tw,FR,France,214.96.232.86,BlackBerry 10
7dd7c5f4-2c9a-4f2b-ac70-11fb7dbb76ba,b82812cd-c829-478c-919f-e452691cbe86,de30f096-e210-4bc9-9206-58d69eeb7a60,1512690896,Edge,,,Android,,,UTF-8,ru,AR,Argentina,57.114.80.60,Window Phone
9e80213a-9202-43a5-be7e-d8d1146f9572,dfa00a78-c6a6-4497-9eb2-22d55581a291,cfc03c47-9b07-451f-98d4-5a8893a508d5,1512691179,Firefox,,,Windows Phone,,,UTF-8,es-419,IL,Israel,48.51.130.78,Apple Phone
8e0a0eac-7c98-4296-9fbf-c40a1bad9ef7,c37f3064-f8cd-4755-90e3-e56f27b8b457,bbc8cacd-2e34-4be9-bd60-a08e9a64d680,1512690610,Safari,,,Android,,,UTF-8,ru,UA,Ukraine,20.196.229.153,Desktop
822cdcfd-2a2d-4244-91b1-dcc0e59b49f2,e4d72f91-46cd-42e2-9583-abdd2500d3ba,819a1a53-0970-43ed-b492-cf150805bc59,1512604461,Firefox,,,OS/2,,,UTF-8,pt-br,PH,Philippines,219.71.172.4,Window Tablet
6b085019-b345-418e-838f-21df328346d8,d064015d-b60f-4c5c-b581-7a42dc817fda,374042ab-aaf8-40d7-9b3a-f2512cc3e427,1512604356,Firefox,,,iOS,,,UTF-8,ru,PH,Philippines,53.74.77.26,Android Phone
43580b27-83e9-4f1b-953f-b13d47b785a6,a91606fe-1ccd-4604-a193-529f56cd6ff0,64ec6038-f8cb-4871-b328-c0e29145fcb7,1512518220,Edge,,,(not set),,,UTF-8,zh-tw,RU,Russia,242.190.109.219,Android Tablet
f84b601d-8a20-4a97-b8f0-ad419bcb23c0,20f23ab7-a50d-4f65-b15c-44b67647ee12,f3a16d4e-55e6-4ee6-bfb4-0aef022c6218,1512431869,Safari,,,OS/2,,,UTF-8,ja-jp,SI,Slovenia,222.116.200.121,Android Tablet
b5e4efff-6644-4aa7-acd1-9c1dcaf59c8d,cd217867-c487-4327-b893-fb01d22096d5,b528c401-ff58-4d70-ad7e-17a37d91a867,1512431997,Edge,,,Chrome OS,,,UTF-8,en-us,RU,Russia,221.222.17.189,Apple Phone
83ccc769-6039-464c-8ce3-2b119c3916e0,9e1469a5-fa89-4d5a-8a46-9021e6836681,8725734c-65ac-4fbc-81b7-412e79b1976d,1512431888,Firefox,,,(not set),,,UTF-8,fr,LY,Libya,218.113.42.102,Window Phone
69c8c8d9-6c5c-42d5-8b48-fa0f105c6faf,5b1e89a3-68a9-4f3a-9f49-5465c5927769,9c2e621f-c0aa-499c-b7b9-d0b6d0519c59,1512431424,Edge,,,OS/2,,,UTF-8,es-419,AM,Armenia,142.143.231.233,Apple Ipod
7e444710-b125-4972-945d-f18291646c0a,e3d46ad0-2653-42dc-875a-0c0de64bd190,7b97a785-b8ea-4af9-95cd-96537c979cf6,1512431488,Edge,,,(not set),,,UTF-8,en-us,LR,Liberia,147.66.252.185,Apple Ipod
2b060a12-5654-4ba5-9b77-3145461a0d13,f13a0fe1-a1e9-46b9-8a96-fdfb43cd4f28,29c10920-f068-4868-9ae6-bd284de4f073,1512345479,Firefox,,,Windows,,,UTF-8,pt-br,FR,France,41.114.132.242,Desktop
8a412543-9d0e-4bc0-a9db-652ff756bd96,8e87f677-e546-477f-add0-0fc9e64179eb,8027f89f-d159-4ee4-a548-9b2c9a87b393,1512258643,Firefox,,,Windows Phone,,,UTF-8,ja-jp,JP,Japan,176.179.91.101,Android Tablet
de900f81-c867-4997-89bc-77a472093431,fe055f61-4356-40cc-b211-d270b64fcaa3,0c64e43c-94fb-490f-a72d-80f09aa98412,1512258860,Firefox,,,iOS,,,UTF-8,es-419,CN,China,31.109.149.182,Apple Tablet
8b1bf100-ba57-49fa-b84e-1a92bc056f44,dc787ba9-3829-49bd-a9f9-f4fe28ab62df,e0c152d6-98f2-4437-8af8-28bac0f38ec4,1512258892,Firefox,,,(not set),,,UTF-8,zh-tw,FR,France,40.90.71.39,Android Tablet
9498c066-5029-48a9-9411-eef956e1e3fc,0105dc44-76f5-457c-a42f-e506efc55bcc,267383f7-9045-413d-bad6-a626d3f96a1e,1512172741,Edge,,,Windows,,,UTF-8,en-us,MY,Malaysia,217.130.180.4,BlackBerry 10
e68e01ab-c314-4faf-99c6-11a676630c06,95c465ee-f505-486d-9fc6-023451085b54,722bf6c7-f114-49ea-b656-009e870b7716,1512172523,Edge,,,Android,,,UTF-8,zh-tw,CN,China,90.251.195.232,Apple Ipod
c6227ff4-1933-44b2-bb07-eb820ad9549b,6e7a2d49-d993-4267-9e64-1506c977f074,0fa0caf1-4f17-4cd5-a078-423ee79c1484,1512172662,Safari,,,Android,,,UTF-8,en-us,PT,Portugal,228.114.116.191,Desktop
1086c51a-420c-4f69-b5e3-bb0b50b2c279,5f0322f1-a73a-44cb-8ba7-867a234fbb38,76a249e7-4c54-4222-9167-4789cfd9590e,1512086384,Firefox,,,OS/2,,,UTF-8,en-us,CD,Democratic Republic of the Congo,62.133.5.147,Apple Phone
4fed3662-7bd6-4f76-95e2-4503367fc483,82424f61-d518-49fe-b64a-acc062510ec0,0dd6d276-086b-4f98-bb43-28aa59bea8ab,1512086049,Firefox,,,Windows,,,UTF-8,de,SE,Sweden,159.18.4.158,Desktop
1a633662-7710-4dc8-a279-551c85e8faf0,b2a80d35-7d67-4387-9dbd-80a19330ce50,8fd8f9b5-27d4-428c-88ec-d6a5ef1043f3,1512085950,Edge,,,Macintosh,,,UTF-8,en-us,RU,Russia,42.199.193.236,Apple Ipod
39d78789-6b16-426c-8c87-e43e77ce0bfb,01fd4e39-f390-4cb3-88b1-5d19a1fee8ef,861fb4ad-e134-403b-873e-efdbb2a180e4,1511999867,Edge,,,Linux,,,UTF-8,en-gb,ZM,Zambia,168.209.83.5,Android Tablet
55baf0c3-83ea-44d8-b773-66400f732cd3,25722c0f-4dc5-4224-a660-ec3252bcfa53,67e265bd-900c-41a4-8d91-a1416be06e4b,1511913484,Firefox,,,Windows,,,UTF-8,de,PR,Puerto Rico,33.51.222.183,Window Phone
2663b09a-2e1b-4c02-9535-a2374a2765ae,92fbb4d4-978e-4c9d-895a-b9e9a9b95df9,cbbad5ad-0fb0-4ece-bd78-757f0849f499,1511913074,Edge,,,Linux,,,UTF-8,en-gb,VN,Vietnam,234.145.226.96,Apple Tablet
83ef62e3-f99b-4452-81bf-697c45ce4e05,fd51f3ac-ebd0-49e7-bcc7-880e8475a268,61bc2bbb-4d2a-4356-acc0-a1d6287466c2,1511913547,Safari,,,Windows Phone,,,UTF-8,zh-tw,MK,Macedonia,49.232.193.233,BlackBerry 10
6b101beb-e8b0-47b4-8b53-096a934a47b3,a9665171-9989-4363-bfe7-43d0e6ba80a6,a3c09088-de9a-413d-8f03-c7c728e2223a,1511913383,Firefox,,,Android,,,UTF-8,ja-jp,CZ,Czech Republic,65.63.145.19,Apple Ipod
1e6ce3ac-a043-4606-8fa6-0c2e9a5e7715,04c2cd91-9ca3-49e5-b56d-67612717fb2a,26c15fcf-351a-4578-b997-48e2c62bec42,1511913584,Edge,,,Windows,,,UTF-8,en-gb,BD,Bangladesh,56.166.210.217,Window Phone
b8f27838-ed20-46c1-9d5d-b860576d9b77,caf9f26c-87f1-49ae-8030-fe810ff3635f,571934ca-cc01-4379-a3d5-c16215c30656,1511827196,Safari,,,(not set),,,UTF-8,pt-br,CN,China,25.206.130.207,Apple Tablet
abbb56d7-ec25-4476-9648-4759a794c861,fd580932-89f9-48c8-a5f9-909a712636c5,92015c75-0b54-48b1-94c4-099b42eeaa0f,1511827172,Edge,,,iOS,,,UTF-8,ru,CN,China,32.250.159.4,Apple Ipod
7b715b05-170d-4d59-b772-5bf589556ad8,e5acdcc1-377c-4aa3-a96d-5e382d54f50a,75341e2a-3432-4324-901c-d8d4c62fe6c8,1511826969,Firefox,,,Windows Phone,,,UTF-8,en-gb,GR,Greece,163.250.38.155,Window Tablet
2839d00b-1d03-4695-beab-d92af193cc8f,5dc5f05f-a9f9-427b-b36a-7a2225671a6e,52d9c763-5039-4f22-ab0f-6af30a057e07,1511740787,Edge,,,Chrome OS,,,UTF-8,en-us,PT,Portugal,99.107.93.167,Apple Tablet
b6c8052b-9797-48ce-ab64-83787c8d36ea,cfba7315-c0cc-4912-9079-fa1acd792107,84dd0bb5-7899-431d-b5c6-be466ec760ab,1511654058,Edge,,,Macintosh,,,UTF-8,zh-tw,PL,Poland,158.73.9.131,Apple Tablet
7d9895ad-93f6-45d1-a8f4-0d211e5221b8,a6240072-aa37-4039-9416-88f09177dc5b,78f486ca-0ce9-4dd7-b4f8-1798d7286c19,1511654241,Safari,,,Linux,,,UTF-8,zh-tw,CN,China,171.162.62.228,Apple Phone
ea5fd4f6-7a60-40bc-a7ba-a03e17d4bbb6,933e084f-f548-4e67-8aab-7f103cf6c30a,5d3ca874-c973-4cf9-872a-3e8378785577,1511654309,Firefox,,,Chrome OS,,,UTF-8,en-us,FR,France,25.162.41.203,Window Phone
