"bucket","m_date","users"
0,"1,511,740,800",2
0,"1,511,827,200",4
0,"1,511,913,600",4
0,"1,512,000,000",6
0,"1,512,086,400",6
0,"1,512,172,800",5
0,"1,512,259,200",6
0,"1,512,345,600",6
0,"1,512,432,000",5
0,"1,512,518,400",3
0,"1,512,604,800",5
0,"1,512,691,200",6
0,"1,512,777,600",7
0,"1,512,864,000",6
0,"1,512,950,400",5
0,"1,513,036,800",6
0,"1,513,123,200",5
0,"1,513,209,600",3
0,"1,513,296,000",4
0,"1,513,382,400",5
0,"1,513,468,800",6
0,"1,513,555,200",3
0,"1,513,641,600",7
0,"1,513,728,000",6
0,"1,513,814,400",4
0,"1,513,900,800",3
0,"1,513,987,200",5
0,"1,514,073,600",4
0,"1,514,160,000",5
0,"1,514,246,400",4
0,"1,514,332,800",7
0,"1,514,419,200",4
0,"1,514,505,600",23
